,0
540,X1356
541,X84107
542,X131034
543,X56667
544,X54763
545,X79413
546,X55211
547,X25890
548,X389136
549,X131177
550,X4057
551,X57467
552,X7476
553,X55287
554,X375323
555,X4585
556,X10777
557,X10803
558,X6997
559,X3697
560,X11148
561,X29114
562,X2596
563,X7348
564,X152015
565,X55
566,X7018
567,X51208
568,X7545
569,X1360
570,X7104
571,X6657
572,X90113
573,X197
574,X3273
575,X3827
576,X9370
577,X8626
578,X10686
579,X205860
580,X2823
581,X9464
582,X11341
583,X50859
584,X2266
585,X2243
586,X131
587,X51316
588,X2638
589,X7363
590,X79799
591,X9407
592,X6691
593,X389206
594,X8929
595,X9982
596,X116449
597,X4487
598,X6286
599,X57733
600,X10568
601,X80157
602,X26228
603,X7364
604,X213
605,X658
606,X2244
607,X2891
608,X11199
609,X132625
610,X92304
611,X26762
612,X2196
613,X6690
614,X2201
615,X353189
616,X2297
617,X5618
618,X64902
619,X51151
620,X1501
621,X6531
622,X25859
623,X9607
624,X170591
625,X635
626,X28965
627,X202374
628,X117156
629,X1044
630,X6444
631,X2299
632,X30820
633,X8817
634,X10814
635,X168002
636,X6582
637,X6098
638,X1300
639,X85413
640,X9096
641,X340168
642,X2940
643,X2938
644,X2939
645,X5314
646,X5225
647,X25803
648,X11074
649,X10786
650,X6568
651,X51473
652,X1302
653,X347733
654,X5460
655,X389376
656,X3662
657,X1589
658,X10279
659,X394263
660,X10930
661,X171558
662,X4224
663,X7021
664,X27283
665,X5454
666,X389421
667,X2173
668,X5169
669,X4602
670,X389434
671,X2099
672,X5340
673,X7434
674,X155051
675,X55503
676,X346689
677,X50617
678,X1811
679,X7425
680,X563
681,X1749
682,X5446
683,X253012
684,X135892
685,X83698
686,X1644
687,X273
688,X7291
689,X155465
690,X340273
691,X4852
692,X117
693,X3484
694,X261729
695,X1278
696,X1750
697,X4885
698,X10071
699,X140453
700,X375612
701,X5172
702,X1080
703,X5803
704,X2318
705,X51200
706,X1357
707,X57016
708,X155006
709,X5644
710,X5304
711,X1804
712,X8928
713,X1584
714,X8581
715,X312
716,X1807
717,X1015
718,X759
719,X5375
720,X2138
721,X63978
722,X5179
723,X195814
724,X6422
725,X6770
726,X1135
727,X81551
728,X157310
729,X203190
730,X6570
731,X2267
732,X1672
733,X640
734,X2626
735,X6440
736,X27299
737,X4741
738,X5368
739,X8601
740,X64321
741,X11075
742,X245972
743,X115111
744,X93035
745,X7373
746,X84985
747,X5462
748,X7038
749,X8000
750,X389816
751,X9022
752,X2516
753,X259
754,X57864
755,X401546
756,X229
757,X570
758,X55363
759,X56033
760,X4920
761,X2619
762,X5079
763,X27240
764,X730112
765,X1271
766,X54796
767,X2731
768,X10655
769,X2315
770,X7306
771,X27290
772,X5646
773,X50652
774,X2304
775,X5004
776,X5005
777,X286204
778,X4010
779,X8328
780,X1621
781,X1289
782,X286256
783,X3897
784,X4105
785,X158511
786,X3547
787,X827
788,X91851
789,X55859
790,X27035
791,X79983
792,X7503
793,X4435
794,X84889
795,X212
796,X190
797,X389840
798,X4935
799,X4113
800,X56062
801,X5354
802,X9075
803,X170261
804,X4068
805,X158763
806,X51442
807,X4102
808,X4111
809,X29944
810,X492
811,X8284
812,X7404
813,X6192
814,X8287
815,X8653
816,X9086
